frame,plate_text,confidence,x,y,width,height
660,465 JKY,0.7808868885040283,2561,1811,202,60
660,Gt,0.6743283271789551,2473,1276,138,48
675,A65UKV,0.7772960662841797,2593,1899,213,63
675,GJPEERD,0.689399003982544,2484,1320,138,52
690,4n65 JKV,0.7888301014900208,2625,1993,217,63
690,Goberd,0.6950017809867859,2497,1361,150,52
705,4665JY,0.8205892443656921,2656,2096,228,67
705,Goberd,0.6208304166793823,2510,1408,161,56
720,6Jobepd,0.7892411351203918,2527,1458,157,52
720,LHSEZC,0.7267488241195679,1357,1376,165,52
720,Kho6 KSU,0.4957222044467926,1220,1843,183,56
735,LHISIZZC,0.7727912664413452,1342,1423,165,56
735,gJobepd,0.7274370193481445,2548,1516,153,56
735,Kho6 KsU,0.6808829307556152,1186,1938,191,52
750,LhsZZC,0.7747743725776672,1318,1481,168,60
750,Khos Ksu,0.7601699233055115,1160,2040,198,60
750,6uos eed,0.7068926095962524,2565,1578,165,52
765,LGBZZC,0.8016852736473083,1290,1537,172,60
765,6Jo6 Ep0,0.7804257869720459,2581,1642,168,60
765,No Text Detected,0.6812288165092468,1126,2139,221,41
780,LNIS ZZC,0.8130185008049011,1260,1601,180,60
780,6Jos ERD,0.7835056781768799,2591,1717,172,60
795,GJob ERD,0.7973719835281372,2606,1801,187,63
795,LNISZZC,0.7931548953056335,1218,1676,180,60
795,DoCL,0.6400623321533203,2557,1395,142,45
810,6Jos ERD,0.8043026924133301,2625,1891,202,63
810,LNis ZZC,0.7766352891921997,1183,1758,183,60
810,DC,0.6702996492385864,2565,1447,150,45
825,LNIS ZZC,0.8182809948921204,1130,1843,191,63
825,gJog erd,0.7644049525260925,2640,1993,202,63
825,[CLA,0.7434540390968323,2572,1501,165,48
840,DOZCLX,0.8278484344482422,2581,1565,176,48
840,64O6 EPd,0.8229825496673584,2655,2105,210,63
840,LNIsZZC,0.8105866312980652,1080,1940,210,63
840,Dojus,0.44273144006729126,2409,1201,146,48
855,LNS ZZC,0.8315345644950867,1029,2051,213,67
855,DOZcLX,0.7997483611106873,2596,1627,176,52
855,Ex09uu9,0.6592245101928711,2416,1248,153,45
870,DOTCLX,0.7895048260688782,2610,1700,187,56
870,BYosWs,0.6962563991546631,2420,1293,146,52
885,[JOZCLX,0.7849661707878113,2634,1783,191,56
885,BYOMUS,0.7393893599510193,2426,1340,157,56
885,MM,0.6858998537063599,1269,1895,131,63
885,No Text Detected,0.5906819105148315,2452,900,105,45
900,BYojug,0.7910857200622559,2428,1387,161,52
900,MOcLX,0.7490090727806091,2662,1873,195,56
